Latitude,Longitude,O3_Total,CO_Total,CH4_Total
-8.892241775630007,-38.54624108645272,268.69873,1.5540154e+18,3.8941883e+19
-8.808039186130872,-38.04207252342798,271.47208,1.5375282e+18,3.8564627e+19
-8.716633066817113,-37.49748886746263,269.52936,1.462243e+18,3.829862e+19
-8.61447998772396,-36.891737003875306,273.258,1.4979502e+18,3.761684e+19
-8.498291128090473,-36.2065948047263,269.90427,1.5009655e+18,3.770712e+19
-8.365477126614548,-35.42906270834297,274.8257,1.5601225e+18,3.969002e+19
-8.207433667848374,-34.51139924243897,273.56168,1.916728e+18,4.067252e+19
-10.044900329430249,-49.47971654001549,264.4725,1.8777045e+18,3.8580733e+19
-9.921679169641115,-48.54653383951023,269.63043,1.855906e+18,3.8725574e+19
-9.813767193388626,-47.75003730620593,272.87933,1.7891463e+18,3.9540505e+19
-9.718236314500682,-47.06062843362128,267.75974,1.9022531e+18,3.858163e+19
-9.631765413923297,-46.44870580592832,271.84885,1.8459321e+18,3.753716e+19
-9.552371193165442,-45.896612727728055,267.9378,1.712084e+18,3.8167347e+19
-9.478219847869125,-45.388915200901614,267.0572,1.621099e+18,3.800052e+19
-9.40921267848693,-44.92345214211,264.7218,1.6026439e+18,3.7941283e+19
-9.343380945580918,-44.485035865444544,266.55408,1.5803105e+18,3.853444e+19
-9.280029365425493,-44.06801767152562,267.4293,1.5167052e+18,3.8231484e+19
-9.219444836630446,-43.67374263448295,265.79843,1.5132183e+18,3.7493025e+19
-9.160170838590963,-43.29166303242072,267.07404,1.4710916e+18,3.7354553e+19
